epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.83972,3.80641,4.99192,4.39757,0,0,0,0,3.54158,4.61724,4.11042,0.0706383,0.00326241,0.00326241
2,12.9743,3.61262,4.88242,4.21929,0,0,0,0,3.50816,4.62239,4.10239,0.0405077,0.00646515,0.00646515
3,18.6226,3.53985,4.57865,4.07972,0,0,0,0,3.51906,4.64056,4.12017,0.0102451,0.00953589,0.00953589
4,24.3662,3.37568,4.37822,3.92844,0.85527,0.04319,0.03048,0.00907,3.12801,4.16046,3.90708,0.009406,0.009406,0.009406
5,29.8674,3.16874,4.13463,3.72218,0.95385,0.03684,0.07918,0.03036,2.58583,14.5801,3.59193,0.009208,0.009208,0.009208
6,35.6793,3.01837,3.93795,3.60236,0.13191,0.31165,0.03645,0.01232,2.51991,17.8355,3.60588,0.00901,0.00901,0.00901
7,41.9275,2.98563,3.75948,3.44247,0.11796,0.28728,0.03915,0.0102,2.44728,109.005,4.03591,0.008812,0.008812,0.008812
8,48.3661,2.82944,3.48399,3.35696,0.51449,0.15258,0.02875,0.00905,2.42066,168.436,3.60845,0.008614,0.008614,0.008614
9,54.4127,2.68065,3.26758,3.20861,0.63693,0.10302,0.16961,0.07114,2.30504,3.11858,3.14289,0.008416,0.008416,0.008416
10,60.6614,2.59985,3.00642,3.1066,0.50946,0.23756,0.15987,0.04177,2.49102,5.18449,3.28782,0.008218,0.008218,0.008218
11,66.7069,2.51832,2.86394,3.00437,0.26211,0.49259,0.3364,0.13011,2.09242,2.81407,2.89277,0.00802,0.00802,0.00802
12,72.5353,2.43799,2.76929,2.9615,0.35129,0.61969,0.491,0.22261,2.02968,2.35196,2.77905,0.007822,0.007822,0.007822
13,78.4766,2.29585,2.61692,2.85327,0.38832,0.54231,0.54449,0.23094,2.00097,1.91641,2.74821,0.007624,0.007624,0.007624
14,84.4208,2.26402,2.54251,2.80344,0.56928,0.50687,0.53353,0.25192,1.97481,1.88054,2.73386,0.007426,0.007426,0.007426
15,90.2426,2.19315,2.44524,2.75643,0.49852,0.58331,0.60598,0.28926,1.84079,1.81836,2.59807,0.007228,0.007228,0.007228
16,96.4498,2.15054,2.26225,2.68774,0.4886,0.60791,0.60531,0.30136,1.82063,1.71443,2.58829,0.00703,0.00703,0.00703
17,102.707,2.07252,2.26594,2.6533,0.59258,0.5216,0.56085,0.23877,1.97098,2.22839,2.64755,0.006832,0.006832,0.006832
18,108.814,2.01367,2.21267,2.57822,0.5325,0.64678,0.65314,0.35493,1.71465,1.65328,2.48028,0.006634,0.006634,0.006634
19,114.979,2.02243,2.18989,2.60591,0.37117,0.51606,0.43757,0.14517,2.32134,3.51086,3.01866,0.006436,0.006436,0.006436
20,121.106,1.99058,2.13945,2.62376,0.63915,0.70687,0.74526,0.41669,1.64186,1.48547,2.44404,0.006238,0.006238,0.006238
21,127.006,1.95249,2.11653,2.54722,0.54586,0.78356,0.74035,0.40782,1.59155,1.50176,2.36228,0.00604,0.00604,0.00604
22,132.826,1.8302,1.91793,2.44026,0.67437,0.76035,0.80643,0.47413,1.55804,1.39744,2.3559,0.005842,0.005842,0.005842
23,138.522,1.82333,1.923,2.43727,0.65601,0.74754,0.82711,0.49066,1.46409,1.38914,2.31048,0.005644,0.005644,0.005644
24,144.241,1.82952,1.87227,2.41417,0.7875,0.81759,0.86749,0.51364,1.50509,1.27415,2.30835,0.005446,0.005446,0.005446
25,150.224,1.84777,1.95587,2.43877,0.74514,0.7676,0.78534,0.40319,1.65908,1.56025,2.34767,0.005248,0.005248,0.005248
26,156.108,1.74616,1.82426,2.32266,0.72083,0.80633,0.85316,0.48906,1.51203,1.36148,2.21943,0.00505,0.00505,0.00505
27,162.193,1.7075,1.76075,2.29401,0.79371,0.76392,0.83311,0.48894,1.49859,1.35289,2.23203,0.004852,0.004852,0.004852
28,168.255,1.65523,1.72843,2.30776,0.78604,0.79742,0.86059,0.51305,1.48259,1.33785,2.24715,0.004654,0.004654,0.004654
29,174.597,1.73538,1.68827,2.31283,0.78103,0.82718,0.86319,0.50238,1.50548,1.19589,2.25141,0.004456,0.004456,0.004456
